 TimeStamp
 1.31948e+09    
  0.639727       0.45    14.82      1.3    -0.27     0.31     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.659725       0.56    14.82      1.3    -0.22     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.679637       0.56    14.82      1.3    -0.26     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.699692       0.56    14.82     1.25    -0.22     0.36     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.719726       0.56    14.82      1.3    -0.26     0.35     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.739765       0.56    14.82      1.3    -0.26     0.35     0.14    -0.07  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.759724       0.56    14.82     1.25    -0.27     0.36     0.14    -0.07  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.779725       0.56    14.82     1.25    -0.27     0.36     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.799631       0.56    14.82      1.3    -0.26     0.35     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.819725       0.56    14.82      1.3    -0.26     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.839727       0.56    14.71      1.3    -0.26      0.3     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.859725       0.56    14.82     1.26    -0.27     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.879727       0.56    14.82      1.3    -0.27     0.36     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.899725       0.56    14.82      1.3    -0.26     0.35     0.12    -0.03  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.919649       0.56    14.82      1.3    -0.27     0.36     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.939725       0.56    14.82      1.3    -0.22     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.959728       0.56    14.82      1.3    -0.26     0.35     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.979707       0.56    14.82      1.3    -0.27     0.36     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
  0.999708       0.56    14.82      1.3    -0.26     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.01972       0.56    14.82     1.35    -0.27     0.35     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.03973       0.56    14.82      1.3    -0.26      0.4     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.05972       0.56    14.82      1.3    -0.22     0.35     0.14    -0.03  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
    1.0797       0.56    14.82      1.3    -0.27     0.35     0.14    -0.03  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.09962       0.56    14.82      1.3    -0.26      0.3     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.11972       0.56    14.82      1.3    -0.26     0.36     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.13972       0.56    14.82      1.3    -0.22      0.3     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.15973       0.56    14.82      1.3    -0.27     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.17976       0.56    14.82     1.35    -0.26     0.36     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.19973       0.56    14.82     1.25    -0.21     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.21972       0.56    14.82     1.26    -0.27      0.3     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.23973       0.45    14.82      1.3    -0.22      0.3     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.25972       0.56    14.82     1.26    -0.27     0.41     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
    1.2797       0.56    14.82      1.3    -0.22     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.29972       0.56    14.81      1.3    -0.22     0.36     0.14    -0.03  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.31973       0.56    14.82     1.35    -0.31     0.36     0.14    -0.07  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
    1.3397       0.56    14.82      1.3    -0.21     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.35973       0.56    14.82     1.25    -0.27     0.35     0.14    -0.03  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.37969       0.56    14.82     1.26    -0.27     0.31     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.39973       0.56    14.71      1.3    -0.26     0.36     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.41969       0.56    14.82      1.3    -0.27     0.36     0.14    -0.07  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.43972       0.56    14.82      1.3    -0.22      0.3     0.12    -0.07  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.45969       0.56    14.82      1.3    -0.26     0.36     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.47971       0.56    14.81      1.3    -0.27     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.49964       0.56    14.82     1.26    -0.27     0.36     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.51971       0.56    14.82      1.3    -0.27     0.35     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.53972       0.56    14.82      1.3    -0.21     0.35     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.55971       0.45    14.82     1.26    -0.21     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.57971       0.56    14.82      1.3    -0.26     0.36     0.14    -0.07  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.59973       0.56    14.82      1.3    -0.32     0.35     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.61971       0.56    14.82      1.3    -0.22      0.3     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.63971       0.56    14.82      1.3    -0.21     0.35     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.65971       0.56    14.82      1.3    -0.21     0.35     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.67971       0.56    14.71      1.3    -0.26      0.3     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.69972       0.56    14.82      1.3    -0.26     0.35     0.12    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.71971       0.56    14.82      1.3    -0.21      0.3     0.14    -0.05  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
   1.73977       0.56    14.82      1.3    -0.26     0.35     0.14    -0.07  6.10342e-05 -0.431753 -1.27409e-06 -0.422611 8.15069e-06 -0.00017558 -0.00050639 
