dist, angle, rangeIR, mts, flag
7, 0, 3481757, 108336, 1
7, 1, 3460280, 108366, 1
7, 1, 3486932, 108396, 1
7, 1, 3444637, 108426, 1
7, 0, 3356810, 108457, 1
7, 1, 3325388, 108487, 1
7, 1, 3318669, 108517, 1
7, 1, 3319195, 108547, 1
7, 0, 3296875, 108577, 1
7, 1, 3264373, 108607, 1
7, 1, 3254695, 108637, 1
7, 0, 3224491, 108667, 1
7, 1, 3137776, 108697, 1
7, 1, 3042143, 108727, 1
7, 1, 3033665, 108757, 1
7, 0, 3003645, 108787, 1
7, 1, 2924214, 108817, 1
7, 1, 2887936, 108848, 1
7, 1, 2840958, 108878, 1
7, 0, 2783208, 108908, 1
7, 1, 2752834, 108938, 1
7, 1, 2748974, 108968, 1
3, 0, 2778951, 108983, 1
7, 0, 2813355, 109013, 1
7, 1, 2804985, 109043, 1
7, 1, 2770932, 109073, 1
7, 1, 2748826, 109103, 1
7, 0, 2916708, 109133, 1
7, 1, 3086422, 109163, 1
7, 1, 2895747, 109193, 1
7, 1, 2639179, 109223, 1
7, 0, 2577032, 109254, 1
7, 1, 2570269, 109284, 1
7, 1, 2501578, 109314, 1
7, 1, 2443089, 109344, 1
7, 1, 2469025, 109374, 1
7, 0, 2497896, 109404, 1
7, 1, 2472139, 109434, 1
7, 1, 2411479, 109464, 1
7, 1, 2348953, 109494, 1
7, 0, 2284217, 109524, 1
7, 1, 2347711, 109554, 1
7, 1, 2355522, 109584, 1
7, 1, 2286999, 109614, 1
7, 0, 2341556, 109645, 1
7, 1, 2441633, 109675, 1
7, 1, 2441633, 109705, 1
7, 1, 2569251, 109735, 1
7, 0, 2650591, 109765, 1
7, 1, 2708195, 109795, 1
7, 1, 2810347, 109825, 1
7, 0, 2698810, 109885, 1
7, 1, 2851062, 109915, 1
7, 1, 3032680, 109945, 1
7, 1, 3091229, 109976, 1
7, 1, 3125042, 110006, 1
7, 0, 3161446, 110036, 1
7, 1, 3223951, 110066, 1
7, 1, 3279487, 110096, 1
7, 0, 3310768, 110126, 1
7, 1, 3350304, 110156, 1
7, 1, 3414016, 110186, 1
7, 1, 3447712, 110216, 1
7, 0, 3446427, 110246, 1
7, 1, 3476458, 110276, 1
7, 1, 3372030, 110306, 1
7, 1, 3300738, 110336, 1
7, 0, 3499737, 110366, 1
7, 1, 3667201, 110397, 1
7, 1, 3702749, 110427, 1
7, 1, 3712521, 110457, 1
7, 0, 3746253, 110487, 1
7, 1, 3960098, 110517, 1
7, 1, 4025002, 110547, 1
7, 1, 3843465, 110577, 1
7, 0, 3809751, 110607, 1
7, 1, 3836392, 110637, 1
8, 1, 3839666, 110667, 1
6, 1, 3837839, 110697, 1
7, 0, 3834739, 110727, 1
7, 1, 3837282, 110757, 1
7, 0, 3834750, 110848, 1
7, 1, 3837765, 110878, 1
7, 1, 3839638, 110908, 1
7, 1, 3836579, 110938, 1
7, 0, 3835099, 110968, 1
8, 1, 3838039, 110998, 1
7, 1, 3827256, 111028, 1
7, 1, 3793572, 111058, 1
7, 0, 3804479, 111088, 1
7, 1, 3810668, 111118, 1
7, 1, 3779938, 111148, 1
7, 1, 3773825, 111179, 1
7, 1, 3582651, 111209, 1
7, 0, 3523654, 111239, 1
7, 1, 3677448, 111269, 1
7, 1, 3699598, 111299, 1
7, 0, 3668140, 111329, 1
7, 1, 3638542, 111359, 1
6, 1, 3634704, 111389, 1
8, 1, 3600816, 111419, 1
7, 0, 3574312, 111449, 1
7, 1, 3556918, 111479, 1
7, 1, 3523959, 111509, 1
7, 1, 3541319, 111539, 1
7, 0, 3512713, 111569, 1
7, 1, 3451056, 111599, 1
6, 1, 3446124, 111629, 1
8, 1, 3255825, 111660, 1
7, 0, 3219874, 111690, 1
7, 1, 3366226, 111720, 1
7, 1, 3339857, 111750, 1
7, 1, 3319404, 111780, 1
7, 0, 3294319, 111810, 1
7, 1, 3255128, 111840, 1
7, 1, 3216884, 111870, 1
7, 0, 3192783, 111900, 1
7, 1, 3168447, 111930, 1
7, 1, 3135803, 111960, 1
7, 1, 3128245, 111990, 1
7, 0, 3098198, 112021, 1
7, 1, 3045868, 112051, 1
6, 1, 3012965, 112081, 1
7, 1, 3002396, 112111, 1
7, 0, 2972683, 112141, 1
7, 1, 2943726, 112171, 1
7, 0, 2846193, 112261, 1
7, 1, 2816797, 112291, 1
7, 1, 2813015, 112321, 1
7, 1, 2780408, 112351, 1
8, 0, 2751724, 112381, 1
6, 1, 2752387, 112411, 1
8, 1, 2749823, 112442, 1
7, 1, 2726524, 112472, 1
7, 0, 2677183, 112502, 1
7, 1, 2636891, 112532, 1
7, 1, 2598613, 112562, 1
7, 1, 2541593, 112592, 1
7, 0, 2511727, 112622, 1
7, 1, 2506479, 112652, 1
7, 1, 2471059, 112682, 1
7, 1, 2444702, 112712, 1
6, 0, 2424327, 112742, 1
7, 1, 2389745, 112772, 1
7, 1, 2377553, 112802, 1
7, 1, 2348186, 112833, 1
7, 1, 2338258, 112863, 1
