dist, angle, rangeIR, mts, flag
25, 3, 3736667, 50809, 1
26, 3, 3932209, 50914, 1
21, 2, 4078547, 51004, 1
25, 3, 4151815, 51109, 1
26, 3, 4278589, 51214, 1
21, 2, 4336783, 51305, 1
25, 3, 4432366, 51410, 1
26, 3, 4339105, 51515, 1
21, 2, 4337741, 51605, 1
26, 3, 4288669, 51711, 1
25, 3, 4277539, 51816, 1
21, 3, 4217642, 51906, 1
25, 3, 4151557, 52012, 1
26, 3, 4090886, 52117, 1
21, 2, 4024899, 52207, 1
25, 3, 4110266, 52312, 1
26, 3, 3865241, 52417, 1
21, 3, 3789690, 52508, 1
26, 3, 3692625, 52613, 1
20, 2, 3546222, 52703, 1
26, 3, 3485193, 52808, 1
26, 3, 3351235, 52914, 1
20, 3, 3284347, 53004, 1
26, 3, 3191982, 53109, 1
25, 3, 3002378, 53215, 1
21, 2, 2992287, 53305, 1
26, 3, 2876879, 53410, 1
25, 3, 2814076, 53515, 1
22, 2, 2780599, 53606, 1
25, 3, 2666459, 53711, 1
26, 3, 2693884, 53816, 1
20, 2, 2715008, 53906, 1
26, 3, 2620171, 54011, 1
26, 3, 2531951, 54117, 1
20, 2, 2866285, 54207, 1
26, 3, 2811546, 54312, 1
25, 3, 2780897, 54418, 1
21, 2, 2905726, 54508, 1
26, 3, 3014844, 54613, 1
21, 3, 2991177, 54703, 1
25, 3, 3007096, 54809, 1
26, 3, 3208031, 54914, 1
21, 2, 3256593, 55004, 1
25, 3, 3380479, 55109, 1
26, 3, 3318532, 55215, 1
21, 3, 3274856, 55305, 1
25, 3, 3284238, 55410, 1
26, 3, 3223628, 55515, 1
21, 2, 3284771, 55606, 1
25, 3, 3288739, 55711, 1
26, 3, 3098108, 55816, 1
21, 3, 3126831, 55906, 1
25, 3, 2976682, 56012, 1
26, 3, 2896030, 56117, 1
21, 2, 2808007, 56207, 1
26, 3, 2680315, 56312, 1
25, 3, 2360221, 56418, 1
21, 3, 2378444, 56508, 1
25, 3, 2246969, 56613, 1
22, 2, 2202766, 56703, 1
25, 3, 2117011, 56809, 1
25, 3, 2114564, 56914, 1
21, 2, 2082161, 57004, 1
26, 3, 2188499, 57109, 1
25, 3, 2023062, 57214, 1
21, 2, 2149659, 57305, 1
