dist, angle, rangeIR, mts, flag
36354, 36354, 738006, 118585, 1
36354, 36354, 714680, 118675, 1
36354, 36354, 740575, 118765, 1
36354, 36354, 913006, 118855, 1
36354, 36354, 770615, 118945, 1
36354, 36354, 769224, 119035, 1
36354, 36354, 662013, 119125, 1
36354, 36354, 698937, 119395, 1
36354, 36354, 647572, 119485, 1
36354, 36354, 914525, 119575, 1
36354, 36354, 667653, 119665, 1
36354, 36354, 669954, 119755, 1
36354, 36354, 685538, 119845, 1
36354, 36354, 835791, 119935, 1
36354, 36354, 855923, 120025, 1
36354, 36354, 446318, 120115, 1
36354, 36354, 709480, 120205, 1
36354, 36354, 697451, 120295, 1
36354, 36354, 554329, 120385, 1
36354, 36354, 707138, 120475, 1
36354, 36354, 801150, 120565, 1
36354, 36354, 539068, 120655, 1
36354, 36354, 651597, 120745, 1
36354, 36354, 728470, 120835, 1
36354, 36354, 603727, 120925, 1
36354, 36354, 741807, 121015, 1
36354, 36354, 803589, 121105, 1
36354, 36354, 895036, 121195, 1
36354, 36354, 706494, 121285, 1
36354, 36354, 600881, 121375, 1
36354, 36354, 758615, 121465, 1
36354, 36354, 708906, 121555, 1
36354, 36354, 651063, 121645, 1
36354, 36354, 738318, 121735, 1
36354, 36354, 705353, 121825, 1
36354, 36354, 693814, 121915, 1
36354, 36354, 729869, 122005, 1
36354, 36354, 602729, 122095, 1
36354, 36354, 788562, 122185, 1
36354, 36354, 851028, 122275, 1
36354, 36354, 769323, 122545, 1
36354, 36354, 621564, 122635, 1
36354, 36354, 754118, 122725, 1
36354, 36354, 1125483, 122815, 1
36354, 36354, 668204, 122905, 1
36354, 36354, 772444, 122995, 1
36354, 36354, 859302, 123085, 1
36354, 36354, 720738, 123175, 1
36354, 36354, 830853, 123265, 1
36354, 36354, 464260, 123355, 1
36354, 36354, 738070, 123445, 1
36354, 36354, 855293, 123535, 1
36354, 36354, 846765, 123625, 1
36354, 36354, 604270, 123715, 1
