dist, angle, rangeIR, mts, flag
7, 1, 3928064, 164970, 1
7, 0, 3951359, 165000, 1
7, 1, 3891028, 165031, 1
7, 1, 3837355, 165061, 1
7, 0, 3840162, 165091, 1
7, 1, 3838877, 165121, 1
7, 1, 3836114, 165151, 1
7, 1, 3837815, 165181, 1
7, 1, 3839969, 165211, 1
7, 0, 3836905, 165241, 1
7, 1, 3803136, 165271, 1
7, 1, 3775584, 165301, 1
7, 1, 3777582, 165331, 1
7, 0, 3775674, 165361, 1
7, 1, 3774069, 165391, 1
7, 1, 3925044, 165422, 1
7, 0, 4042755, 165452, 1
7, 1, 3854385, 165482, 1
7, 1, 3667864, 165512, 1
7, 1, 3667864, 165542, 1
7, 0, 3638962, 165572, 1
7, 1, 3631318, 165602, 1
7, 1, 3596766, 165632, 1
7, 1, 3541678, 165662, 1
7, 0, 3405230, 165692, 1
7, 1, 3264662, 165722, 1
7, 1, 3337081, 165752, 1
7, 1, 3445615, 165782, 1
7, 0, 3448700, 165813, 1
7, 1, 3445067, 165843, 1
7, 1, 3410434, 165873, 1
7, 1, 3607285, 165903, 1
7, 0, 3747510, 165933, 1
7, 1, 3489222, 165963, 1
7, 1, 3286336, 165993, 1
7, 1, 3288917, 166023, 1
7, 0, 3292932, 166053, 1
7, 1, 3227563, 166083, 1
7, 1, 3191284, 166113, 1
7, 1, 3162636, 166143, 1
7, 0, 3119794, 166173, 1
7, 1, 3085287, 166203, 1
7, 1, 3065011, 166233, 1
7, 1, 3038532, 166264, 1
7, 0, 3006789, 166294, 1
7, 1, 3001372, 166324, 1
7, 1, 3222822, 166354, 1
7, 1, 3300414, 166384, 1
7, 0, 3015106, 166414, 1
7, 1, 2873725, 166444, 1
7, 1, 2874601, 166474, 1
7, 1, 2854044, 166504, 1
7, 0, 2819063, 166534, 1
7, 1, 2777362, 166564, 1
7, 1, 2580088, 166594, 1
7, 1, 2478810, 166624, 1
7, 0, 2590619, 166654, 1
7, 1, 2635089, 166685, 1
7, 1, 2606637, 166715, 1
7, 1, 2577017, 166745, 1
7, 0, 2573339, 166775, 1
7, 1, 2538506, 166805, 1
7, 1, 2509372, 166835, 1
7, 1, 2498965, 166865, 1
7, 0, 2463332, 166895, 1
7, 1, 2474328, 166925, 1
7, 1, 2452603, 166955, 1
7, 1, 2379773, 166985, 1
7, 0, 2337453, 167015, 1
7, 1, 2100646, 167046, 1
7, 1, 2041475, 167076, 1
7, 1, 2241634, 167106, 1
7, 0, 2397444, 167136, 1
7, 1, 2627580, 167166, 1
7, 1, 2821463, 167196, 1
7, 1, 2923276, 167226, 1
7, 0, 3039937, 167256, 1
7, 1, 3160743, 167286, 1
7, 1, 3253976, 167316, 1
7, 0, 3349579, 167346, 1
7, 1, 3447040, 167376, 1
7, 1, 3542194, 167406, 1
7, 1, 3591359, 167436, 1
7, 1, 3620434, 167467, 1
7, 0, 3508191, 167497, 1
7, 1, 3600593, 167527, 1
7, 1, 3839296, 167557, 1
7, 0, 3878749, 167587, 1
7, 1, 3929569, 167617, 1
7, 1, 4049250, 167647, 1
7, 1, 4150910, 167677, 1
7, 1, 4188612, 167707, 1
7, 0, 4213805, 167737, 1
7, 1, 4217226, 167767, 1
7, 1, 4224703, 167797, 1
7, 1, 4284765, 167827, 1
7, 0, 4309034, 167858, 1
7, 1, 4303854, 167888, 1
7, 1, 4333723, 167918, 1
7, 1, 4339036, 167948, 1
3, 0, 4339036, 167963, 1
11, 1, 4404286, 168008, 1
